id,title,year,bases
0,A DES APPROACH TO INTRUSION DETECTION SYSTEM FOR ARP SPOOFING ATTACKS,2010,Engineering Village-IEEExplore-Scopus
1,COMPLETENESS OF LAN ATTACK DETECTION USING DISCRETE EVENT SYSTEMS,2011,Engineering Village-Scopus-Web of Science
2,A HOST BASED DES APPROACH FOR DETECTING ARP SPOOFING,2011,Engineering Village-IEEExplore-Scopus
3,LAN ATTACK DETECTION USING DISCRETE EVENT SYSTEMS,2011,Engineering Village-Scopus-Science Direct-Web of Science
4,USING FORMAL METHODS TO VERIFY SAFE DEEP STALL LANDING OF A MAV,2011,Engineering Village-IEEExplore-Scopus-Web of Science
5,A SUPERVISORY CONTROL APPROACH TO DYNAMIC CYBER-SECURITY,2014,Engineering Village-Scopus-Web of Science
6,"6TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING, ICOAC 2014",2014,Engineering Village
7,APPLICATION OF STOCHASTIC DISCRETE EVENT SYSTEM FRAMEWORK FOR DETECTION OF INDUCED LOW RATE TCP ATTACK,2015,Engineering Village-Scopus-Science Direct-Web of Science
8,A DISCRETE EVENT SYSTEM BASED APPROACH FOR OBFUSCATED MALWARE DETECTION,2015,Engineering Village-Scopus-Web of Science
9,TIMED DISCRETE EVENT SYSTEM APPROACH TO ONLINE TESTING OF ASYNCHRONOUS CIRCUITS,2015,Engineering Village
10,I2-DIAGNOSABILITY FRAMEWORK FOR DETECTION OF ADVANCED STEALTH MAN IN THE MIDDLE ATTACK IN WI-FI NETWORKS,2015,Engineering Village-IEEExplore-Scopus
11,MODELING CYBER ATTACKS BY STOCHASTIC GAMES AND TIMED PETRI NETS,2016,Engineering Village-IEEExplore-Scopus-Web of Science
12,INTRUSION DETECTION SYSTEM FOR PS-POLL DOS ATTACK IN 802.11 NETWORKS USING REAL TIME DISCRETE EVENT SYSTEM,2017,Engineering Village-IEEExplore-Scopus-Web of Science
13,DETECTING ANOMALOUS BEHAVIOR IN VOIP SYSTEMS: A DISCRETE EVENT SYSTEM MODELING,2017,Engineering Village-IEEExplore-Scopus-Web of Science
14,FALLBACK AND RECOVERY CONTROL SYSTEM OF INDUSTRIAL CONTROL SYSTEM FOR CYBERSECURITY,2017,Engineering Village-Scopus-Science Direct-Web of Science
15,A CYBER ATTACK MODEL WITH BOUNDED SENSOR READING ALTERATIONS,2017,Engineering Village-IEEExplore-Scopus-Web of Science
16,SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS UNDER ATTACKS,2017,Engineering Village-Scopus-Web of Science
17,SUPERVISOR SYNTHESIS TO THWART CYBER ATTACK WITH BOUNDED SENSOR READING ALTERATIONS,2018,Engineering Village-Scopus-Science Direct-Web of Science
18,PARAMETER AND INSERTION FUNCTION CO-SYNTHESIS FOR OPACITY ENHANCEMENT IN PARAMETRIC STOCHASTIC DISCRETE EVENT SYSTEMS,2018,Engineering Village-IEEExplore-Scopus-Web of Science
19,SYNTHESIS OF INSERTION FUNCTIONS TO ENFORCE DECENTRALIZED AND JOINT OPACITY PROPERTIES OF DISCRETE-EVENT SYSTEMS,2018,Engineering Village-IEEExplore-Scopus-Web of Science
20,DISCRETE EVENT SYSTEM FRAMEWORK FOR FAULT DIAGNOSIS WITH MEASUREMENT INCONSISTENCY: CASE STUDY OF ROGUE DHCP ATTACK,2019,Engineering Village-IEEExplore-Scopus-Web of Science
21,ROGUE TWIN ATTACK DETECTION: A DISCRETE EVENT SYSTEM PARADIGM APPROACH,2019,Engineering Village-IEEExplore-Scopus-Web of Science
22,AN APPROACH BASED ON BEHAVIORAL MODELS AND CRITICAL STATES DISTANCE NOTION FOR IMPROVING CYBERSECURITY OF INDUSTRIAL CONTROL SYSTEMS,2019,Engineering Village-Scopus-Science Direct-Web of Science
23,DE-AUTHENTICATION ATTACK DETECTION USING DISCRETE EVENT SYSTEMS IN 802.11 WI-FI NETWORKS,2019,Engineering Village-IEEExplore-Scopus-Web of Science
