id,title,year,bases
0,DISCRETE EVENT SYSTEM FRAMEWORK FOR FAULT DIAGNOSIS WITH MEASUREMENT INCONSISTENCY: CASE STUDY OF ROGUE DHCP ATTACK,2019,Engineering Village-IEEExplore-Scopus-Web of Science
1,MITIGATION OF CLASSES OF ATTACKS USING A PROBABILISTIC DISCRETE EVENT SYSTEM FRAMEWORK,2020,Engineering Village-Scopus-Web of Science
2,ROGUE TWIN ATTACK DETECTION: A DISCRETE EVENT SYSTEM PARADIGM APPROACH,2019,Engineering Village-IEEExplore-Scopus-Web of Science
3,INTRUSION DETECTION SYSTEM FOR PS-POLL DOS ATTACK IN 802.11 NETWORKS USING REAL TIME DISCRETE EVENT SYSTEM,2017,Engineering Village-IEEExplore-Scopus-Web of Science
4,ARSPAN: ATTACKER REVELATION SCHEME USING DISCRETE EVENT SYSTEM IN 6LOWPAN BASED BUFFER RESERVATION ATTACK,2020,Engineering Village-IEEExplore-Scopus
5,DETECTING ANOMALOUS BEHAVIOR IN VOIP SYSTEMS: A DISCRETE EVENT SYSTEM MODELING,2017,Engineering Village-IEEExplore-Scopus-Web of Science
6,A SUPERVISORY CONTROL APPROACH TO DYNAMIC CYBER-SECURITY,2014,Engineering Village-Scopus-Web of Science
7,A DISCRETE EVENT SYSTEM BASED APPROACH FOR OBFUSCATED MALWARE DETECTION,2015,Engineering Village-Scopus-Web of Science
8,OPACITY OF DISCRETE EVENT SYSTEMS WITH ACTIVE INTRUDER,2020,Engineering Village
9,APPLICATION OF STOCHASTIC DISCRETE EVENT SYSTEM FRAMEWORK FOR DETECTION OF INDUCED LOW RATE TCP ATTACK,2015,Engineering Village-Scopus-Science Direct-Web of Science
10,AN APPROACH BASED ON BEHAVIORAL MODELS AND CRITICAL STATES DISTANCE NOTION FOR IMPROVING CYBERSECURITY OF INDUSTRIAL CONTROL SYSTEMS,2019,Engineering Village-Scopus-Science Direct-Web of Science
11,TIMED DISCRETE EVENT SYSTEM APPROACH TO ONLINE TESTING OF ASYNCHRONOUS CIRCUITS,2015,Engineering Village
12,A POLYNOMIAL APPROACH TO VERIFYING THE EXISTENCE OF A THREATENING SENSOR ATTACKER,2022,Engineering Village-IEEExplore-Scopus-Web of Science
13,ANALYSIS AND CONTROL FOR RESILIENCE OF DISCRETE EVENT SYSTEMS,2021,Engineering Village-Scopus-Web of Science
14,DES BASED IDS FOR DETECTION MINIMAL DE-AUTHENTICATION DOS ATTACK IN 802.11 WI-FI NETWORKS,2021,Engineering Village-IEEExplore-Scopus-Web of Science
